s.no,helpfulVoteCount,productASIN,productVariant,rating,reviewID,reviewMetadata,reviewPosition,reviewText,reviewTitle,verifiedPurchase
1,2,B067EQEXAE,standard / olive,5,RCAC8E47315544,"Reviewed in the United States on April 16, 2026",1,"My use case has nothing to do with the audience on the box. I stayed for amber low-lumen glow and the way it paired with single-tap dim memory. In actual life it lives near bedroom blackout routine, where the intended story stops mattering. That makes the current targeting feel wierdly narrow.",Surprisingly useful elsewhere,TRUE
1,7,B067EQEXAE,standard / olive,3,RF74005CE98384,"Reviewed in the United States on April 16, 2026",2,"I bought this despite the branding, not because of it. The product earned its keep on single-tap dim memory and weighted anti-tip base, not on the theme work. I use it around midnight apartment hallway, not in the scenario the brand keeps picturing. The brand is selling to nursery shoppers, but the utility keeps recruiting migraine-sensitive adults.",Wrong shelf story,FALSE
1,5,B067EQEXAE,standard / olive,4,R2BCD7835C8A64,"Reviewed in the United States on April 10, 2026",3,"The page felt almost comic-book specific, but my reason for ordering was plain and boring. For my routine, amber low-lumen glow was the real hinge point. Most of its value shows up for me during hotel nightstand. There is a straightforward repositioning play hidden in plain sight.",Real buyer showed up,TRUE
2,3,B0SH5WCYFS,large / stone,4,R20D4156BFB5E4,"Reviewed in the United States on April 13, 2026",1,"I bought this despite the branding, not because of it. For my routine, spiral channels was the real hinge point. The fit became obvious once I worked it into sensory clinic shelf. That makes the current targeting feel wierdly narrow.",Ad copy aimed wrong,TRUE
3,5,B0G9U7ZVIW,plus / sand,4,R9C783FFAFFA34,"Reviewed in the United States on April 10, 2026",1,"The page felt almost comic-book specific, but my reason for ordering was plain and boring. The make-or-break detail turned out to be battery-sipping print head. I use it around back-room shelf tagging, not in the scenario the brand keeps picturing. That makes the current targeting feel wierdly narrow.",Misread audience,TRUE
3,1,B0G9U7ZVIW,plus / sand,4,REFCFD302BA414,"Reviewed in the United States on April 4, 2026",2,"I came in through a side door as a customer; the listing was clearly speaking to someone else. I stayed for peel-clean adhesive and the way it paired with menu shortcut wheel. Most of its value shows up for me during farmers market tote. The brand is selling to college students, but the utility keeps recruiting small-shop inventory teams.",Packaging missed the point,TRUE
4,7,B0R62X834Q,soft / navy,3,R40237B0F3A524,"Reviewed in the United States on April 16, 2026",1,"I came in through a side door as a customer; the listing was clearly speaking to someone else. The product earned its keep on low-pull head shape and easy-rinse spine, not on the theme work. My repeat use happens in sink-side cleanup and vanity drawer, which the page barely hints at. That makes the current targeting feel wierdly narrow.",Wrong shelf story,TRUE
4,31,B0R62X834Q,soft / navy,5,RFBDB725601474,"Reviewed in the United States on April 16, 2026",2,"At first glance this looked irrelevant to me. For my routine, soft-flex bristles was the real hinge point. In actual life it lives near travel pouch, where the intended story stops mattering. The brand is selling to parents buying for kids, but the utility keeps recruiting wig wearers and chemo patients.",Real buyer showed up,FALSE
4,22,B0R62X834Q,soft / navy,4,R32D093316A4C4,"Reviewed in the United States on April 13, 2026",3,"I only gave it a chance after noticing one practical detail in the listing. What mattered immediately was low-pull head shape. I use it around sink-side cleanup, not in the scenario the brand keeps picturing. There is a straightforward repositioning play hidden in plain sight.",Better for a different crowd,TRUE
4,1,B0R62X834Q,soft / navy,5,RA2A92A401F044,"Reviewed in the United States on April 16, 2026",4,"I am absolutely not the person shown in the ad photos. The make-or-break detail turned out to be easy-rinse spine. Most of its value shows up for me during vanity drawer. If the page talked to wig wearers and chemo patients directly, I think conversion would jump.",Better for a different crowd,TRUE
4,2,B0R62X834Q,soft / navy,4,R85981EE20F5E4,"Reviewed in the United States on April 16, 2026",5,The marketing almost scared me off because it was aimed at somebody else. I stayed for soft-flex bristles and the way it paired with low-pull head shape. The fit became obvious once I worked it into travel pouch. People like wig wearers and chemo patients are the obvious repeat buyers here.,Workhorse under gimmicks,TRUE
5,6,B0NOTB6E2Y,clinic / black,5,R441D64D455744,"Reviewed in the United States on April 10, 2026",1,At first glance this looked irrelevant to me. What mattered immediately was controlled return speed. Most of its value shows up for me during apartment driveway. That makes the current targeting feel wierdly narrow.,Workhorse under gimmicks,TRUE
5,10,B0NOTB6E2Y,clinic / black,5,RE0CE0A52EE584,"Reviewed in the United States on April 13, 2026",2,"I only gave it a chance after noticing one practical detail in the listing. The make-or-break detail turned out to be grip-light handle. The fit became obvious once I worked it into small wellness studio. The brand is selling to youth hoop drills, but the utility keeps recruiting physical therapy clinics.",Real buyer showed up,TRUE
5,4,B0NOTB6E2Y,clinic / black,4,REFAD23EA113E4,"Reviewed in the United States on April 16, 2026",3,"I am absolutely not the person shown in the ad photos. I stayed for quiet rebound cord and the way it paired with controlled return speed. My repeat use happens in rehab room mat and apartment driveway, which the page barely hints at. There is a straightforward repositioning play hidden in plain sight.",Surprisingly useful elsewhere,TRUE
6,9,B0F1E9LL3O,pro / navy,5,RC8454CDAD0264,"Reviewed in the United States on April 7, 2026",1,"I only gave it a chance after noticing one practical detail in the listing. I stayed for seam-stable body and the way it paired with graduated squeeze resistance. In actual life it lives near classroom therapy bin, where the intended story stops mattering. That makes the current targeting feel wierdly narrow.",Surprisingly useful elsewhere,TRUE
7,1,B0ML928NYC,13-15 / stone,4,RD1F19B9949F04,"Reviewed in the United States on April 10, 2026",1,"I am absolutely not the person shown in the ad photos. For my routine, tight-hold hinge was the real hinge point. The fit became obvious once I worked it into front reception counter. That makes the current targeting feel wierdly narrow.",Misread audience,TRUE
7,7,B0ML928NYC,13-15 / stone,3,R808F08A128E24,"Reviewed in the United States on April 13, 2026",2,"The marketing almost scared me off because it was aimed at somebody else. What mattered immediately was small-desk footprint. My repeat use happens in faculty office desk and courtroom side bench, which the page barely hints at. The brand is selling to content creators, but the utility keeps recruiting court reporters and teachers.",Better for a different crowd,TRUE
