s.no,about_item,asin,availability,best_sellers_rank,brand_name,breadcrumbs,default_variant/0,default_variant/1,default_variant/2,delivery_date,fastest_delivery_date,list_price,manufacturer,model_number,price_value,product_description,rating_count,rating_distribution/1star,rating_distribution/2star,rating_distribution/3star,rating_distribution/4star,rating_distribution/5star,rating_stars,recent_purchases,seller_name,title,rank_1
1,Angle-adjustable aluminum stand; Silicone foot pads for desk grip; Folds flat for travel or storage; Supports 4 to 13 inch devices; Raised lip keeps tablet stable,B0PCDP3EIW,In Stock,"#18,827 in Electronics (#339 in Electronics Accessories)",FoldDock Store,Electronics > Accessories > Tablet Stands,color:Silver,,,"Monday, April 21","Saturday, April 19",List Price: $24.79,FoldDock,FOL-150D,21.23,"Compact metal stand built for video calls, recipe viewing, and second-screen use on crowded desks.","1,793 ratings",4%,5%,9%,20%,62%,4.4 out of 5 stars,2497 bought in past month,FoldDock,FoldDock Adjustable Tablet Stand,339.0
2,Open-ear fit keeps users aware of surroundings; Dual microphones for everyday calls; Pocket-size charging case included; Touch controls for music and calls; Sweat resistant shell for commuting,B0GDZUWRT1,In Stock,"#5,576 in Electronics (#715 in Electronics Accessories)",AeroTone Store,Electronics > Accessories > Wireless Earbuds,color:White,,,"Monday, April 21","Saturday, April 19",List Price: $52.49,AeroTone,AER-470E,40.92,"Lightweight open-fit earbuds designed for walking, office use, and casual listening without sealing the ear canal.","5,629 ratings",3%,4%,7%,18%,68%,4.6 out of 5 stars,2263 bought in past month,AeroTone,AeroTone OpenFit Earbuds,715.0
3,One-hand top pump for quick dispensing; Clear reservoir shows refill level; Wide mouth opening limits spills; Non-slip base for wet counters; Compact profile fits by most sinks,B0CSFM7P8C,Only 8 left in stock,"#16,907 in Home & Kitchen (#414 in Kitchen Gadgets)",PourNest Store,Home & Kitchen > Kitchen & Dining > Soap Dispensers,color:Black,,,"Sunday, April 20","Saturday, April 19",List Price: $42.79,PourNest,POU-708H,30.66,Countertop dish soap pump that aims to reduce clutter and make sink-side cleaning faster.,"1,870 ratings",4%,5%,9%,20%,62%,4.4 out of 5 stars,3027 bought in past month,PourNest,PourNest Dish Soap Pump,414.0
4,LED ring with three brightness steps; Compact folding shell protects glass; Rechargeable battery for cordless use; Magnetic closure for bag storage; Distortion-minimized mirror surface,B05M7MVRHK,In Stock,"#16,802 in Beauty (#411 in Beauty Tools)",LumaFlip Store,Beauty & Personal Care > Tools & Accessories > Travel Makeup Mirrors,color:White,,,"Sunday, April 20","Saturday, April 19",List Price: $43.89,LumaFlip,LUM-992H,30.14,"Portable mirror intended for touch-ups during travel, office breaks, and quick evening routines.","5,083 ratings",4%,5%,9%,20%,62%,4.5 out of 5 stars,1248 bought in past month,LumaFlip,LumaFlip Travel Makeup Mirror,411.0
5,Double-wall stainless body limits sweat; Leak-resistant lid for gym bags; Powder-coated finish improves grip; Fits standard car cup holders; Wide mouth for ice and cleaning,B0NICFXA3G,Only 8 left in stock,"#15,808 in Sports (#487 in Fitness Accessories)",TrailQuench Store,Sports & Outdoors > Exercise & Fitness > Insulated Water Bottles,size:24oz,color:Black,,"Saturday, April 19","Tomorrow, April 18",List Price: $36.15,TrailQuench,TRA-529F,22.91,"Everyday insulated bottle made for commutes, workouts, and trail walks.","3,476 ratings",4%,5%,9%,20%,62%,4.4 out of 5 stars,2763 bought in past month,TrailQuench,TrailQuench Bottle 24oz,487.0
6,Three color temperatures for task lighting; Touch slider changes brightness levels; Rotating arm saves desk space; USB-C powered design; Stable weighted base for home offices,B0YUOOROG9,In Stock,"#17,163 in Office (#918 in Office Products)",ClearBeam Store,Office Products > Office & School Supplies > Desk Lamps,color:Black,,,"Saturday, April 19","Tomorrow, April 18",List Price: $49.17,ClearBeam,CLE-448A,31.89,"Slim desk lamp meant for reading, keyboard work, and late-night study sessions.","5,422 ratings",3%,4%,7%,18%,68%,4.6 out of 5 stars,3769 bought in past month,ClearBeam,ClearBeam Desk Lamp,918.0
7,Large typeface supports early readers; Rounded corners for small hands; Color grouping by difficulty level; Thick cardstock resists bending; Storage ring keeps sets together,B0W8VRER9R,Only 8 left in stock,"#9,014 in Toys (#748 in Kids' Play Sets)",BrightMinds Store,Toys & Games > Learning & Education > Flash Cards,style:Sight Words,,,"Saturday, April 19","Tomorrow, April 18",List Price: $35.20,BrightMinds,BRI-204F,26.56,Reading flash cards for kindergarten and first-grade practice at home or in small groups.,"2,031 ratings",4%,5%,9%,20%,62%,4.4 out of 5 stars,1104 bought in past month,BrightMinds,BrightMinds Sight Word Flash Cards,748.0
8,5000mAh compact backup battery; USB-C input for easy recharging; LED indicator shows remaining power; Lightweight shell fits jeans pocket; Safe charging circuit for daily use,B0Y61KXD4S,In Stock,"#8,924 in Electronics (#660 in Electronics Accessories)",VoltMile Store,Electronics > Accessories > Portable Chargers,,,,"Sunday, April 20","Tomorrow, April 18",List Price: $25.63,VoltMile,VOL-645F,17.20,"Pocket-size power bank for phones, earbuds, and quick emergency top-ups while traveling.",916 ratings,4%,5%,9%,20%,62%,4.5 out of 5 stars,578 bought in past month,VoltMile,VoltMile Mini Power Bank,660.0
9,Modular trays fit different drawer widths; Matte plastic wipes clean fast; Raised sides keep small items contained; Stackable when not in use; Neutral finish matches most interiors,B02HR092RG,Only 8 left in stock,"#10,044 in Home & Kitchen (#957 in Kitchen Gadgets)",GridNest Store,Home & Kitchen > Kitchen & Dining > Drawer Organizers,,,,"Sunday, April 20","Saturday, April 19",List Price: $24.91,GridNest,GRI-473B,15.90,"Organizer tray set for utensils, office tools, bathroom items, and mixed junk drawers.",898 ratings,4%,5%,9%,20%,62%,4.5 out of 5 stars,,GridNest,GridNest Drawer Trays,957.0
10,Dual-end roller for cheeks and under-eye area; Smooth stone glides with light pressure; Metal frame improves durability; Includes storage pouch; Easy rinse after use,B0VA6MX4EN,In Stock,"#18,015 in Beauty (#759 in Beauty Tools)",RoseMist Store,Beauty & Personal Care > Tools & Accessories > Face Rollers,,,,"Sunday, April 20","Tomorrow, April 18",List Price: $29.94,RoseMist,ROS-544F,12.16,Cooling facial roller intended for morning depuffing and skincare routines.,549 ratings,8%,9%,15%,25%,43%,4.1 out of 5 stars,,RoseMist,RoseMist Facial Roller,759.0
