s.no,about_item,asin,availability,best_sellers_rank,brand_name,breadcrumbs,default_variant/0,default_variant/1,default_variant/2,delivery_date,fastest_delivery_date,list_price,manufacturer,model_number,price_value,product_description,rating_count,rating_distribution/1star,rating_distribution/2star,rating_distribution/3star,rating_distribution/4star,rating_distribution/5star,rating_stars,recent_purchases,seller_name,title,rank_1
1,"High-carbon stainless steel blade resistant to rust and staining; Ergonomic PP non-slip handle for extended comfort; Full-tang construction for balance and durability; Suitable for chopping, slicing, and dicing; Hand wash recommended",B0FA12XK91,In Stock,"#5,124 in Kitchen & Dining (#401 in Chef's Knives)",VivaBlade Store,"Kitchen > Cutlery > Chef's Knives",size:8-inch,color:Silver,,Saturday April 19,"Tomorrow, April 18","List Price: $39.99",VivaBlade,VB-8CH,29.99,"Standard 8-inch chef's knife for everyday home kitchen use","312 ratings",18%,12%,20%,25%,25%,"3.8 out of 5 stars",,VivaBlade,"VivaBlade 8-Inch Chef's Knife — High-Carbon Stainless Steel Ergonomic Handle",401
2,"Set of 3 graduated cutting boards in small, medium, and large; BPA-free polypropylene construction; Non-slip rubber feet on each board; Dishwasher safe for easy cleanup; Juice groove on large board",B0GH34YM22,In Stock,"#3,891 in Kitchen & Dining (#278 in Cutting Boards)",HomeChef Store,"Kitchen > Cutting Boards & Mats > Plastic Cutting Boards",,,,"Saturday, April 19","Tomorrow, April 18","List Price: $24.99",HomeChef,HC-CB3PK,17.99,"Plastic cutting board 3-pack for everyday meal prep","189 ratings",10%,8%,18%,30%,34%,"3.9 out of 5 stars",,HomeChef,"HomeChef Plastic Cutting Board Set 3-Pack — BPA-Free Non-Slip Graduated Sizes",278
3,"Professional angle-guided system with preset 15 and 20 degree slots; 4-stage progressive sharpening: coarse diamond, fine diamond, ceramic hone, and leather strop; Works with all straight-edge and serrated knives; Non-slip weighted base for countertop stability; Ergonomic pull-through design with controlled-angle guide rods",B0PE34XK72,In Stock,"#823 in Kitchen & Dining (#45 in Knife Sharpeners)",PrecisionEdge Pro Store,"Kitchen > Cutlery > Sharpeners",,color:Matte Black,,"Saturday, April 19","Tomorrow, April 18","List Price: $109.99",PrecisionEdge Pro,PE-PRO-4S,89.99,"4-stage angle-guided knife sharpening system for professional-quality edges at home","4,800 ratings",3%,2%,6%,17%,72%,"4.6 out of 5 stars","250+ bought",PrecisionEdge Pro,"PrecisionEdge Pro 4-Stage Angle-Guided Knife Sharpening System — Diamond, Ceramic, and Honing, Universal Fit",45
4,"Instant-read digital thermometer with 2-3 second response time; Foldable probe for safe storage; Temperature range -58F to 572F; Backlit display readable in low light; Auto-off after 10 minutes to preserve battery",B0XT67PL09,In Stock,"#2,134 in Kitchen & Dining (#167 in Cooking Thermometers)",OvenMate Store,"Kitchen > Cooking Thermometers",,color:Black,,"Saturday, April 19","Tomorrow, April 18",,OvenMate,OM-TH200,24.99,"Fast-read digital cooking thermometer for meat grilling and candy making","445 ratings",5%,4%,11%,24%,56%,"4.3 out of 5 stars","50+ bought",OvenMate,"OvenMate Digital Instant-Read Thermometer — 2-Second Response Backlit Display Foldable Probe",167
5,"Hard-anodized aluminum base with non-stick ceramic coating; PFOA-free and PTFE-free surface; Compatible with gas, electric, and induction cooktops; Riveted stainless steel handle with silicone grip sleeve; Oven safe to 400F; Dishwasher safe",B0CK89NW54,In Stock,"#1,456 in Kitchen & Dining (#112 in Frying Pans)",CookRite Store,"Kitchen > Cookware > Frying Pans & Skillets",size:12-inch,color:Gray,,"Saturday, April 19","Tomorrow, April 18","List Price: $49.99",CookRite,CR-FP12CE,34.99,"Ceramic non-stick 12-inch frying pan compatible with all cooktops including induction","521 ratings",7%,5%,12%,24%,52%,"4.2 out of 5 stars","50+ bought",CookRite,"CookRite Non-Stick Ceramic Frying Pan 12-Inch — PFOA-Free Induction Compatible Oven Safe 400F",112
6,"Heat-resistant to 600F for use with all cookware including cast iron; BPA-free FDA-grade silicone construction; Flexible blade edges for thorough bowl scraping; Set includes small, medium, and large spatulas; Dishwasher safe",B0DL23QX88,In Stock,"#4,201 in Kitchen & Dining (#334 in Spatulas & Turners)",FlexiGrip Store,"Kitchen > Kitchen Utensils > Spatulas & Turners",,,,"Saturday, April 19","Tomorrow, April 18",,,,14.99,"3-piece silicone spatula set heat-resistant to 600F for all cooking tasks","156 ratings",8%,6%,14%,30%,42%,"4.0 out of 5 stars",,FlexiGrip,"FlexiGrip Silicone Spatula Set 3-Piece — Heat Resistant 600F BPA-Free Dishwasher Safe",334
7,"Pre-seasoned with vegetable oil for a natural non-stick surface; 10.25-inch cooking surface fits standard burners; Oven and broiler safe with no temperature limit; Suitable for stovetop, oven, campfire, and grill; Doubles as a serving dish; Use and care guide included",B0BW44TX31,In Stock,"#987 in Kitchen & Dining (#78 in Cast Iron Skillets)",HearthCast Store,"Kitchen > Cookware > Cast Iron Skillets",size:10.25-inch,color:Black,,"Saturday, April 19","Tomorrow, April 18","List Price: $59.99",HearthCast,HC-CIS10,44.99,"Pre-seasoned cast iron skillet for stovetop oven campfire and grill cooking","623 ratings",4%,3%,9%,22%,62%,"4.5 out of 5 stars","50+ bought",HearthCast,"HearthCast Pre-Seasoned Cast Iron Skillet 10.25-Inch — Stovetop Oven Campfire and Grill Ready",78
8,"Set of 5 nesting bowls in 0.75qt, 1.5qt, 3qt, 5qt, and 8qt; 18/10 stainless steel resists rust and staining; Flat base keeps bowls stable on countertop; Mirror-polished interior for easy cleaning; Dishwasher safe; Suitable for mixing, marinating, and serving",B0RF12LK77,In Stock,"#3,102 in Kitchen & Dining (#241 in Mixing Bowls)",PureSteel Store,"Kitchen > Mixing Bowls",,,,"Saturday, April 19","Tomorrow, April 18",,,PST-MB5X,26.99,"5-piece nesting stainless steel mixing bowl set for kitchen prep and serving","203 ratings",9%,7%,13%,28%,43%,"4.1 out of 5 stars",,PureSteel,"PureSteel Stainless Steel Mixing Bowl Set 5-Piece — Nesting 18/10 Grade Mirror-Polished Dishwasher Safe",241
9,"11lb maximum capacity with 0.1oz precision; Tare function for subtracting container weight; Measures in grams, ounces, pounds, and milliliters; Slim platform design stores easily; Auto-off after 3 minutes; Runs on 2 AAA batteries",B0KQ78MN23,In Stock,"#4,567 in Kitchen & Dining (#356 in Kitchen Scales)",SlimWeigh Store,"Kitchen > Kitchen Scales",,color:White,,"Saturday, April 19","Tomorrow, April 18",,SlimWeigh,SW-FS11,18.99,"Digital kitchen food scale with tare function and four measurement units","134 ratings",10%,7%,15%,28%,40%,"4.0 out of 5 stars",,SlimWeigh,"SlimWeigh Digital Food Scale 11lb — Tare Function Grams Ounces Pounds and Milliliters",356
10,"Adjustable thickness from 1mm to 8mm with dial setting; Hand guard protects fingers during slicing; Folds flat for compact storage; Stainless steel blade stays sharp; Rubber feet prevent sliding; 5 interchangeable inserts for waffle, julienne, and flat cuts",B0NX56QT14,In Stock,"#2,876 in Kitchen & Dining (#221 in Mandoline Slicers)",SliceMaster Store,"Kitchen > Slicers, Graters & Peelers > Mandoline Slicers",,,,"Saturday, April 19","Tomorrow, April 18","List Price: $49.99",SliceMaster,SM-MND8,36.99,"Adjustable mandoline slicer with hand guard and 5 interchangeable cut inserts","267 ratings",14%,10%,17%,24%,35%,"3.8 out of 5 stars",,SliceMaster,"SliceMaster Adjustable Mandoline Slicer — 5 Inserts Julienne Waffle Flat 1-8mm Dial",221
